Park Name,Plot Identifier,Date,Day,Month,Year,Start Time,End Time,Latitude,Longitude,Observer,Temperature,Wind Speed,Habitat Type,Cloud Cover,Notes,Percent Canopy Cover
CB Smith,CB-01,4/9/2025,9,April,2025,14:36:00,14:46,26.00884,-80.3173,Marina,79,9,Open Grassy,Partly Cloudy,,0
CB Smith,CB-02,4/9/2025,9,April,2025,15:01:00,15:12:00,26.0093,-80.3203,Marina,80,9,Open Grassy,Partly Cloudy,,0
CB Smith,CB-03,4/9/2025,9,April,2025,15:43:00,15:53:00,26.01924,-80.315,Marina,80,9,Open Grassy,Partly Cloudy,,0
CB Smith,CB-04,4/9/2025,9,April,2025,16:10:00,16:20:00,26.01261,-80.3188,Marina,80,7,Open Grassy,Partly Cloudy,,0
Vista View,VV-01,4/12/2025,12,April,2025,9:00:00,9:22:00,26.0694,-80.3403,Marina,78,5,Open Grassy,Sunny,,0
Vista View,VV-02,4/12/2025,12,April,2025,9:49:00,10:03:00,26.07214,-80.341,Marina,78,5,Open Grassy,Sunny,,0
Vista View,VV-03,4/12/2025,12,April,2025,10:28:00,11:29:00,26.07003,-80.3461,Marina,77,6,Open Grassy,Sunny,,0
Vista View,VV-04,4/12/2025,12,April,2025,11:54:00,12:11:00,26.06381,-80.348,Marina,77,8,Open Grassy,Sunny,,0
Markham,MK-01,4/12/2025,12,April,2025,12:55:00,13:05:00,26.12823,-80.3623,Marina,80,9,Hammock,Sunny,very thick forest habitat ,0.8
Markham,MK-02,4/12/2025,12,April,2025,13:35:00,13:53:00,26.13103,-80.356,Marina,80,9,Open Grassy,Sunny,habitat near water,0
Markham,MK-03,4/12/2025,12,April,2025,14:10:00,14:20:00,26.12647,-80.3539,Marina,81,9,Open Grassy,Sunny,,0
Markham,MK-04,4/12/2025,12,April,2025,14:35:00,14:45:00,26.12937,-80.3515,Marina,81,9,Open Grassy,Sunny,,0
Markham,MK-05,4/12/2025,12,April,2025,14:57:00,15:07:00,26.13722,-80.3445,Marina,81,9,Australian Pine Forest,Sunny,,0.6
Quiet Waters,QW-01,4/12/2025,12,April,2025,16:14:00,16:31:00,26.31343,-80.1552,Marina,79,10,Open Grassy,Sunny,,0
Quiet Waters,QW-02,4/12/2025,12,April,2025,16:49:00,16:59:00,26.3058,-80.1561,Marina,79,10,Pine Flatwoods,Sunny,vegetation dry and crunchy,0.3
Quiet Waters,QW-03,4/12/2025,12,April,2025,17:18:00,17:28:00,26.31751,-80.1668,Marina,79,10,Open Grassy,Sunny,,0
Quiet Waters,QW-04,4/12/2025,12,April,2025,17:34:00,17:46:00,26.31704,-80.1673,Marina,79,10,Open Grassy,Sunny,,0
Markham,MK-06,4/14/2025,14,April,2025,8:58:00,9:12:00,26.12722,-80.3617,Marina,74,1,Open Grassy,Partly Cloudy,,0
Markham,MK-07,4/14/2025,14,April,2025,9:36:00,9:52:00,26.13725,-80.3549,Marina,74,1,Australian Pine Forest,Partly Cloudy,,0.6
Markham,MK-08,4/14/2025,14,April,2025,10:02:00,10:13:00,26.1389,-80.3519,Marina,78,2,Open Grassy,Partly Cloudy,,0
Markham,MK-09,4/14/2025,14,April,2025,10:46:00,10:56:00,26.12385,-80.3462,Marina,78,2,Open Grassy,Sunny,,0
Markham,MK-10,4/14/2025,14,April,2025,11:24:00,11:34:00,26.12882,-80.3471,Marina,79,2,Open Grassy,Sunny,,0
Long Key,LK-01,4/14/2025,14,April,2025,13:54:00,14:14:00,26.07635,-80.3255,Marina,79,2,Hammock,Sunny,,0.9
Long Key,LK-02,4/14/2025,14,April,2025,14:24:00,14:37:00,26.07692,-80.3241,Marina,79,2,Ephemeral Wetland,Sunny,,0.9
Long Key,LK-03,4/14/2025,14,April,2025,15:10:00,15:21:00,26.07224,-80.3168,Marina,82,7,Open Grassy,Sunny,this field used to be for horses ,0
Highlands Scrub,HS-01,4/23/2025,23,April,2025,8:49:00,9:09:00,26.28216,-80.11045,Marina,75,10,Sand Pine Scrub,Partly Cloudy,,0
Highlands Scrub,HS-02,4/23/2025,23,April,2025,9:38:00,9:48:00,26.28155,-80.1082,Marina,75,10,Sand Pine Scrub,Partly Cloudy,,0.4
Highlands Scrub,HS-03,4/23/2025,23,April,2025,10:10:00,10:20:00,26.28022,-80.1083,Marina,76,10,Sand Pine Scrub,Partly Cloudy,,0
Helene Klein,HK-01,4/23/2025,23,April,2025,11:10:00,11:20:00,26.3192,-80.1873,Marina,80,6,Pine Flatwoods,Partly Cloudy,"this swamp is a small fragment, very dry",0.9
Helene Klein,HK-02,4/23/2025,23,April,2025,11:40:00,12:18:00,26.31807,-80.1892,Marina,81,7,Disturbed Edge,Partly Cloudy,grassy and shrubby,0
Helene Klein,HK-03,4/23/2025,23,April,2025,12:36:00,12:46:00,26.31838,-80.1873,Marina,81,7,Pine Flatwoods,Partly Cloudy,"should have been pine flatwoods, is actually pine forest with thick canopy and understory",0.9
