Plot Identifier,Plant Common Name,Plant Order,Plant Family,Plant Genus,Plant Species,Insect Common Name,Insect Order,Insect Family,Insect Genus,Insect Species,Notes,iNat Link,Second iNat link
CB-02,Browne's Blechum,Lamiales,Acanthaceae,Ruellia,blechum ,Mallow Scrub-Hairstreak,Lepidoptera,Lycaenidae,Strymon,istapa,,,
VV-01,White Beggarticks,Asterales,Asteraceae,Bidens,alba,Dainty Sulphur,Lepidoptera,Pieridae,Nathalis,iole,,,
VV-01,Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Dainty Sulphur,Lepidoptera,Pieridae,Nathalis,iole,,,
VV-01,Largeflower Mexican Clover,Gentianales,Rubiaceae,Richardia,grandiflora,Dainty Sulphur,Lepidoptera,Pieridae,Nathalis,iole,,,
VV-02,Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Ceraunus Blue,Lepidoptera,Lycaenidae,Hemiargus,ceraunus,,,
VV-03,Turkey Tangle Frogfruit,Lamiales,Verbenaceae,Phyla,nodiflora,White Peacock,Lepidoptera,Nymphalidae,Anartia,jatrophae,,,
VV-03,White Beggarticks,Asterales,Asteraceae,Bidens,alba,White Peacock,Lepidoptera,Nymphalidae,Anartia,jatrophae,,,
VV-03,Largeflower Mexican Clover,Gentianales,Rubiaceae,Richardia,grandiflora,White Peacock,Lepidoptera,Nymphalidae,Anartia,jatrophae,,,
VV-03,White Beggarticks,Asterales,Asteraceae,Bidens,alba,Fulvous Hairstreak,Lepidoptera,Lycaenidae,Electrostrymon,angelia,,,
VV-03,Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,,
VV-03,White Beggarticks,Asterales,Asteraceae,Bidens,alba,Zebra Longwing,Lepidoptera,Nymphalidae,Heliconius,charithonia,,,
VV-03,Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Coffee-loving Pyrausta Moth,Lepidoptera,Crambidae,Pyrausta,tyralis,,,
VV-03,White Beggarticks,Asterales,Asteraceae,Bidens,alba,Coffee-loving Pyrausta Moth,Lepidoptera,Crambidae,Pyrausta,tyralis,,,
VV-03,Largeflower Mexican Clover,Gentianales,Rubiaceae,Richardia,grandiflora,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,,
VV-03,White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Poey's Furrow Bee ,Hymenoptera,Halictidae,Halictus,poeyi,,,
VV-03,White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Julia Heliconian,Lepidoptera,Nymphalidae,Dryas,iulia,,,
VV-03,Largeflower Mexican Clover,Gentianales,Rubiaceae,Richardia,grandiflora,Zebra Longwing,Lepidoptera,Nymphalidae,Heliconius,charithonia,,,
VV-03,Largeflower Mexican Clover,Gentianales,Rubiaceae,Richardia,grandiflora,Julia Heliconian,Lepidoptera,Nymphalidae,Dryas,iulia,,,
VV-03,Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Julia Heliconian,Lepidoptera,Nymphalidae,Dryas,iulia,,,
VV-03,White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Tropical Checkered-Skipper,Lepidoptera,Hesperiidae,Burnsius,oileus,,,
VV-04,Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,,
VV-04,Largeflower Mexican Clover,Gentianales,Rubiaceae,Richardia,grandiflora,White Checkered-Skipper,Lepidoptera,Hesperiidae,Burnsius,albezens,,,
MK-02,Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,,
MK-02,Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Poey's Furrow Bee ,Hymenoptera,Halictidae,Halictus,poeyi,,,
MK-02,Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Caribbean Scoliid Wasp,Hymenoptera,Scoliidae,Dielis,dorsata,,,
MK-03,Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,,
MK-03,Turkey Tangle Frogfruit,Lamiales,Verbenaceae,Phyla,nodiflora,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,,
QW-01,Saw Palmetto,Arecales,Arecaceae,Serenoa,repens,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,,
QW-01,Saw Palmetto,Arecales,Arecaceae,Serenoa,repens,Old World Blow Fly,Diptera,Calliphoridae,Chrysomya,,,,
QW-01,Largeflower Mexican Clover,Gentianales,Rubiaceae,Richardia,grandiflora,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,,
QW-01,Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,,
