Plant.Common.Name,Plant.Order,Plant.Family,Plant.Genus,Plant.Species,Insect.Common.Name,Insect.Order,Insect.Family,Insect.Genus,Insect.Species,URL,Park.Name,Insect_ID,Plant_ID,Interaction.ID,Habitat.Type,Habitat.Category,Park.Type,subfamily,superfamily
Bitter Melon,Cucurbitales,Cucurbitaceae,Momordica,charantia,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,Military Trail,Apis mellifera,Momordica charantia,Momordica charantia | Apis mellifera,Oak Dominated Scrub,Scrub,Low human modification,,Apoidea
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Brown-winged Striped Sweat Bee,Hymenoptera,Halictidae,Agapostemon,splendens,https://www.inaturalist.org/observations/279307199,Military Trail,Agapostemon splendens,Bidens alba,Bidens alba | Agapostemon splendens,Oak Dominated Scrub,Scrub,Low human modification,,Apoidea
Bitter Melon,Cucurbitales,Cucurbitaceae,Momordica,charantia,Brown-winged Striped Sweat Bee,Hymenoptera,Halictidae,Agapostemon,splendens,https://www.inaturalist.org/observations/279307199,Military Trail,Agapostemon splendens,Momordica charantia,Momordica charantia | Agapostemon splendens,Oak Dominated Scrub,Scrub,Low human modification,,Apoidea
Saw Palmetto,Arecales,Arecaceae,Serenoa,repens,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,Military Trail,Apis mellifera,Serenoa repens,Serenoa repens | Apis mellifera,Oak Dominated Scrub,Scrub,Low human modification,,Apoidea
Saw Palmetto,Arecales,Arecaceae,Serenoa,repens,Brown-winged Striped Sweat Bee,Hymenoptera,Halictidae,Agapostemon,splendens,https://www.inaturalist.org/observations/279307183,Military Trail,Agapostemon splendens,Serenoa repens,Serenoa repens | Agapostemon splendens,Oak Dominated Scrub,Scrub,Low human modification,,Apoidea
American Beautyberry,Lamiales,Lamiaceae,Callicarpa,americana,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,Military Trail,Apis mellifera,Callicarpa americana,Callicarpa americana | Apis mellifera,Oak Dominated Scrub,Scrub,Low human modification,,Apoidea
Turkey Tangle Frogfruit,Lamiales,Verbenaceae,Phyla,nodiflora,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,Markham,Apis mellifera,Phyla nodiflora,Phyla nodiflora | Apis mellifera,Open Grassy,Open Human Disturbed,High human modification,,Apoidea
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Poey's Furrow Bee ,Hymenoptera,Halictidae,Halictus,poeyi,,Markham,Halictus poeyi,Bidens alba,Bidens alba | Halictus poeyi,Open Grassy,Open Human Disturbed,High human modification,,Apoidea
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Dainty Sulphur,Lepidoptera,Pieridae,Nathalis,iole,,Markham,Nathalis iole,Bidens alba,Bidens alba | Nathalis iole,Open Grassy,Open Human Disturbed,High human modification,NA,NA
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,Markham,Apis mellifera,Bidens alba,Bidens alba | Apis mellifera,Open Grassy,Open Human Disturbed,High human modification,,Apoidea
