"","Plot.Identifier","Plant.Common.Name","Plant.Order","Plant.Family","Plant.Genus","Plant.Species","Insect.Common.Name","Insect.Order","Insect.Family","Insect.Genus","Insect.Species","Notes","iNat.Link","Second.iNat.link","Park.Name","Month","Year","Insect_ID","Plant_ID","Interaction.ID","Habitat.Type","Habitat.Category","Park.Type","subfamily","superfamily"
"1","MT-04","Bitter Melon","Cucurbitales","Cucurbitaceae","Momordica","charantia","Western Honey Bee","Hymenoptera","Apidae","Apis","mellifera","","","","Military Trail","May",2025,"Apis mellifera","Momordica charantia","Momordica charantia | Apis mellifera","Oak Dominated Scrub","Scrub","Low human modification","","Apoidea"
"2","MT-04","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Brown-winged Striped Sweat Bee","Hymenoptera","Halictidae","Agapostemon","splendens","check id on iNat","https://www.inaturalist.org/observations/279307199","","Military Trail","May",2025,"Agapostemon splendens","Bidens alba","Bidens alba | Agapostemon splendens","Oak Dominated Scrub","Scrub","Low human modification","","Apoidea"
"3","MT-04","Bitter Melon","Cucurbitales","Cucurbitaceae","Momordica","charantia","Brown-winged Striped Sweat Bee","Hymenoptera","Halictidae","Agapostemon","splendens","check id on iNat","https://www.inaturalist.org/observations/279307199","","Military Trail","May",2025,"Agapostemon splendens","Momordica charantia","Momordica charantia | Agapostemon splendens","Oak Dominated Scrub","Scrub","Low human modification","","Apoidea"
"4","MT-06","Saw Palmetto","Arecales","Arecaceae","Serenoa","repens","Western Honey Bee","Hymenoptera","Apidae","Apis","mellifera","","","","Military Trail","May",2025,"Apis mellifera","Serenoa repens","Serenoa repens | Apis mellifera","Oak Dominated Scrub","Scrub","Low human modification","","Apoidea"
"5","MT-06","Saw Palmetto","Arecales","Arecaceae","Serenoa","repens","Brown-winged Striped Sweat Bee","Hymenoptera","Halictidae","Agapostemon","splendens","check id on iNat","https://www.inaturalist.org/observations/279307183","","Military Trail","May",2025,"Agapostemon splendens","Serenoa repens","Serenoa repens | Agapostemon splendens","Oak Dominated Scrub","Scrub","Low human modification","","Apoidea"
"6","MT-06","American Beautyberry","Lamiales","Lamiaceae","Callicarpa","americana","Western Honey Bee","Hymenoptera","Apidae","Apis","mellifera","","","","Military Trail","May",2025,"Apis mellifera","Callicarpa americana","Callicarpa americana | Apis mellifera","Oak Dominated Scrub","Scrub","Low human modification","","Apoidea"
"7","MK-12","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Western Honey Bee","Hymenoptera","Apidae","Apis","mellifera","","","","Markham","May",2025,"Apis mellifera","Phyla nodiflora","Phyla nodiflora | Apis mellifera","Open Grassy","Open Human Disturbed","High human modification","","Apoidea"
"8","MK-12","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Poey's Furrow Bee ","Hymenoptera","Halictidae","Halictus","poeyi","","","","Markham","May",2025,"Halictus poeyi","Bidens alba","Bidens alba | Halictus poeyi","Open Grassy","Open Human Disturbed","High human modification","","Apoidea"
"9","MK-12","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Dainty Sulphur","Lepidoptera","Pieridae","Nathalis","iole","","","","Markham","May",2025,"Nathalis iole","Bidens alba","Bidens alba | Nathalis iole","Open Grassy","Open Human Disturbed","High human modification",NA,NA
"10","MK-12","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Western Honey Bee","Hymenoptera","Apidae","Apis","mellifera","","","","Markham","May",2025,"Apis mellifera","Bidens alba","Bidens alba | Apis mellifera","Open Grassy","Open Human Disturbed","High human modification","","Apoidea"
