"Plot.Identifier","Plant.Common.Name","Plant.Order","Plant.Family","Plant.Genus","Plant.Species","Insect.Common.Name","Insect.Order","Insect.Family","Insect.Genus","Insect.Species","Notes","iNat.Link","Second.iNat.link","Park.Name","Month","Year","Insect_ID","Plant_ID","Interaction.ID","Habitat.Type","Habitat.Category","Park.Type","Insect_Status","Plant_Status","Interaction.Status.ID"
"MT-04","Bitter Melon","Cucurbitales","Cucurbitaceae","Momordica","charantia","Western Honey Bee","Hymenoptera","Apidae","Apis","mellifera","","","","Military Trail","May",2025,"Apis mellifera","Momordica charantia","Momordica charantia | Apis mellifera","Oak Dominated Scrub","Scrub","Low human modification","Non-native","Non-native","Non-native | Non-native"
"MT-04","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Brown-winged Striped Sweat Bee","Hymenoptera","Halictidae","Agapostemon","splendens","check id on iNat","https://www.inaturalist.org/observations/279307199","","Military Trail","May",2025,"Agapostemon splendens","Bidens alba","Bidens alba | Agapostemon splendens","Oak Dominated Scrub","Scrub","Low human modification","Native","Native","Native | Native"
"MT-04","Bitter Melon","Cucurbitales","Cucurbitaceae","Momordica","charantia","Brown-winged Striped Sweat Bee","Hymenoptera","Halictidae","Agapostemon","splendens","check id on iNat","https://www.inaturalist.org/observations/279307199","","Military Trail","May",2025,"Agapostemon splendens","Momordica charantia","Momordica charantia | Agapostemon splendens","Oak Dominated Scrub","Scrub","Low human modification","Native","Non-native","Non-native | Native"
"MT-06","Saw Palmetto","Arecales","Arecaceae","Serenoa","repens","Western Honey Bee","Hymenoptera","Apidae","Apis","mellifera","","","","Military Trail","May",2025,"Apis mellifera","Serenoa repens","Serenoa repens | Apis mellifera","Oak Dominated Scrub","Scrub","Low human modification","Non-native","Native","Native | Non-native"
"MT-06","Saw Palmetto","Arecales","Arecaceae","Serenoa","repens","Brown-winged Striped Sweat Bee","Hymenoptera","Halictidae","Agapostemon","splendens","check id on iNat","https://www.inaturalist.org/observations/279307183","","Military Trail","May",2025,"Agapostemon splendens","Serenoa repens","Serenoa repens | Agapostemon splendens","Oak Dominated Scrub","Scrub","Low human modification","Native","Native","Native | Native"
"MT-06","Saw Palmetto","Arecales","Arecaceae","Serenoa","repens","Myzinum dubiosum","Hymenoptera","Thynnidae","Myzinum","dubiosum","","","","Military Trail","May",2025,"Myzinum dubiosum","Serenoa repens","Serenoa repens | Myzinum dubiosum","Oak Dominated Scrub","Scrub","Low human modification","Native","Native","Native | Native"
"MT-06","American Beautyberry","Lamiales","Lamiaceae","Callicarpa","americana","Western Honey Bee","Hymenoptera","Apidae","Apis","mellifera","","","","Military Trail","May",2025,"Apis mellifera","Callicarpa americana","Callicarpa americana | Apis mellifera","Oak Dominated Scrub","Scrub","Low human modification","Non-native","Native","Native | Non-native"
"HK-04","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Three-banded Scoliid Wasp","Hymenoptera","Scoliidae","Dielis","trifasciata","","https://www.inaturalist.org/observations/279307203","","Helene Klein","May",2025,"Dielis trifasciata","Bidens alba","Bidens alba | Dielis trifasciata","Pine Flatwoods","Flatwoods","Low human modification","Native","Native","Native | Native"
"HK-04","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Caribbean Scoliid Wasp","Hymenoptera"," Scoliidae","Dielis","dorsata","","https://www.inaturalist.org/observations/279307188","","Helene Klein","May",2025,"Dielis dorsata","Bidens alba","Bidens alba | Dielis dorsata","Pine Flatwoods","Flatwoods","Low human modification","Non-native","Native","Native | Non-native"
"HK-05","Shiny-leaved Wild Coffee","Gentianales","Rubiaceae","Psychotria","nervosa","Feather-legged Scoliid Wasp","Hymenoptera","Scoliidae","Dielis","plumipes","","https://www.inaturalist.org/observations/279307197","","Helene Klein","May",2025,"Dielis plumipes","Psychotria nervosa","Psychotria nervosa | Dielis plumipes","Pine Flatwoods","Flatwoods","Low human modification","Native","Native","Native | Native"
"MK-12","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Western Honey Bee","Hymenoptera","Apidae","Apis","mellifera","","","","Markham","May",2025,"Apis mellifera","Phyla nodiflora","Phyla nodiflora | Apis mellifera","Open Grassy","Open Human Disturbed","High human modification","Non-native","Native","Native | Non-native"
"MK-12","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Poey's Furrow Bee ","Hymenoptera","Halictidae","Halictus","poeyi","","","","Markham","May",2025,"Halictus poeyi","Bidens alba","Bidens alba | Halictus poeyi","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"MK-12","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Dainty Sulphur","Lepidoptera","Pieridae","Nathalis","iole","","","","Markham","May",2025,"Nathalis iole","Bidens alba","Bidens alba | Nathalis iole","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
