"Plant_Species"
"Alternanthera ficoidea"
"Alysicarpus vaginalis"
"Amaranthus spinosus"
"Anthurium schlechtendalii"
"Ardisia elliptica"
"Argemone mexicana"
"Asclepias curassavica"
"Asemeia grandiflora"
"Bacopa caroliniana"
"Bacopa monnieri"
"Bejaria racemosa"
"Bidens alba"
"Bidens bipinnata"
"Callicarpa americana"
"Calyptocarpus vialis"
"Catharanthus roseus"
"Chamaecrista fasciculata"
"Chiococca alba"
"Chromolaena odorata"
"Chrysobalanus icaco"
"Commelina diffusa"
"Commelina erecta"
"Conoclinium coelestinum"
"Crinum americanum "
"Crotalaria retusa"
"Croton glandulosus"
"Cuphea strigulosa"
"Dalea feayi"
"Desmodium incanum"
"Desmodium mauritianum"
"Desmodium tortuosum"
"Diacrodon compressus"
"Diodia virginiana"
"Eclipta prostrata"
"Emilia fosbergii"
"Emilia praetermissa"
"Emilia sonchifolia"
"Erigeron canadensis"
"Erigeron quercifolius"
"Euphorbia cyathophora"
"Euphorbia graminea"
"Euphorbia hirta"
"Euphorbia hyssopifolia"
"Euphorbia lasiocarpa"
"Euphorbia ophthalmica"
"Euphorbia thymifolia"
"Galactia purshii"
"Galactia volubilis"
"Genus Asemeia"
"Genus Cuphea"
"Genus Euphorbia"
"Genus Hydrocotyle"
"Genus Persicaria"
"Genus Pityopsis"
"Geobalanus oblongifolius"
"Gomphrena serrata"
"Grona triflora"
"Hamelia patens"
"Helianthus debilis"
"Heterotheca subaxillaris"
"Hypericum hypericoides"
"Hyptis alata"
"Ilex cassine"
"Indigofera spicata"
"Ipomoea indica"
"Kalanchoe pinnata"
"Kalanchoe x houghtonii"
"Kallstroemia maxima"
"Lepidium virginicum"
"Ligustrum japonicum "
"Lindernia grandiflora"
"Lyonia fruticosa"
"Mecardonia acuminata"
"Melothria pendula"
"Mitreola petiolata"
"Momordica charantia"
"Oenothera humifusa"
"Oenothera simulans"
"Oldenlandia corymbosa"
"Opuntia dillenii"
"Oxalis corniculata"
"Palafoxia feayi"
"Parthenium hysterophorus"
"Parthenocissus quinquefolia"
"Pectis prostrata"
"Persea palustris"
"Petiveria alliacea"
"Phyla nodiflora"
"Physalis walteri"
"Phytolacca americana"
"Pityopsis graminifolia"
"Plumbago zeylanica"
"Polygonella polygama"
"Polypremum procumbens"
"Portulaca amilis"
"Portulaca oleracea"
"Portulaca pilosa"
"Psychotria nervosa"
"Ptilimnium capillaceum"
"Richardia brasiliensis"
"Richardia grandiflora"
"Rivina humilis"
"Roystonea regia"
"Ruellia blechum "
"Sagittaria lancifolia"
"Sagittaria latifolia"
"Salvia misella"
"Salvia occidentalis"
"Scaevola taccada"
"Serenoa repens"
"Setaria parviflora"
"Sida ciliaris"
"Sida cordifolia"
"Sida ulmifolia"
"Smilax auriculata"
"Smilax laurifolia"
"Solanum americanum "
"Solidago chapmanii"
"Solidago fistulosa"
"Spermacoce remota"
"Spermacoce verticillata"
"Sphagneticola trilobata"
"Stachytarpheta cayennensis"
"Stachytarpheta jamaicensis"
"Stylosanthes biflora"
"Stylosanthes hamata"
"Synedrella nodiflora"
"Tillandsia setacea"
"Toxicodendron radicans"
"Tradescantia spathacea"
"Tradescantia zebrina"
"Trema micranthum var. floridanum "
"Tridax procumbens"
"Trifolium repens"
"Urena lobata"
"Ximenia americana"
"Xyris jupicai"
