Plant_ID,Plant_Status
Alternanthera ficoidea,Non-native
Alysicarpus vaginalis,Non-native
Amaranthus spinosus,Non-native
Anthurium schlechtendalii,Non-native
Ardisia elliptica,Non-native
Argemone mexicana,Native
Asclepias curassavica,Non-native
Asemeia grandiflora,Native
Bacopa caroliniana,Native
Bacopa monnieri,Native
Bejaria racemosa,Native
Bidens alba,Native
Bidens bipinnata,Native
Callicarpa americana,Native
Calyptocarpus vialis,Non-native
Catharanthus roseus,Non-native
Chamaecrista fasciculata,Native
Chiococca alba,Native
Chromolaena odorata,Native
Chrysobalanus icaco,Native
Commelina diffusa,Non-native
Commelina erecta,Native
Conoclinium coelestinum,Native
Crinum americanum ,Native
Crotalaria retusa,Non-native
Croton glandulosus,Native
Cuphea strigulosa,Non-native
Dalea feayi,Native
Desmodium incanum,Native
Desmodium mauritianum,Non-native
Desmodium tortuosum,Non-native
Diacrodon compressus,Non-native
Diodia virginiana,Native
Eclipta prostrata,Native
Emilia fosbergii,Non-native
Emilia praetermissa,Non-native
Emilia sonchifolia,Non-native
Erigeron canadensis,Native
Erigeron quercifolius,Native
Euphorbia cyathophora,Native
Euphorbia graminea,Non-native
Euphorbia hirta,Native
Euphorbia hyssopifolia,Native
Euphorbia lasiocarpa,Non-native
Euphorbia ophthalmica,Native
Euphorbia thymifolia,Native
Galactia purshii,Native
Galactia volubilis,Native
Genus Asemeia,Unknown
Genus Cuphea,Unknown
Genus Euphorbia,Unknown
Genus Hydrocotyle,Unknown
Genus Persicaria,Unknown
Genus Pityopsis,Unknown
Geobalanus oblongifolius,Native
Gomphrena serrata,Non-native
Grona triflora,Non-native
Hamelia patens,Native
Helianthus debilis,Native
Heterotheca subaxillaris,Native
Hypericum hypericoides,Native
Hyptis alata,Native
Ilex cassine,Native
Indigofera spicata,Non-native
Ipomoea indica,Native
Kalanchoe pinnata,Non-native
Kalanchoe x houghtonii,Non-native
Kallstroemia maxima,Native
Lepidium virginicum,Native
Ligustrum japonicum ,Non-native
Lindernia grandiflora,Native
Lyonia fruticosa,Native
Mecardonia acuminata,Native
Melothria pendula,Native
Mitreola petiolata,Native
Momordica charantia,Non-native
Oenothera humifusa,Native
Oenothera simulans,Native
Oldenlandia corymbosa,Non-native
Opuntia dillenii,Native
Oxalis corniculata,Native
Palafoxia feayi,Native
Parthenium hysterophorus,Non-native
Parthenocissus quinquefolia,Native
Pectis prostrata,Native
Persea palustris,Native
Petiveria alliacea,Native
Phyla nodiflora,Native
Physalis walteri,Native
Phytolacca americana,Native
Pityopsis graminifolia,Native
Plumbago zeylanica,Native
Polygonella polygama,Native
Polypremum procumbens,Native
Portulaca amilis,Non-native
Portulaca oleracea,Native
Portulaca pilosa,Native
Psychotria nervosa,Native
Ptilimnium capillaceum,Native
Richardia brasiliensis,Non-native
Richardia grandiflora,Non-native
Rivina humilis,Native
Roystonea regia,Native
Ruellia blechum ,Non-native
Sagittaria lancifolia,Native
Sagittaria latifolia,Native
Salvia misella,Native
Salvia occidentalis,Native
Scaevola taccada,Non-native
Serenoa repens,Native
Setaria parviflora,Native
Sida ciliaris,Native
Sida cordifolia,Non-native
Sida ulmifolia,Native
Smilax auriculata,Native
Smilax laurifolia,Native
Solanum americanum ,Native
Solidago chapmanii,Native
Solidago fistulosa,Native
Spermacoce remota,Native
Spermacoce verticillata,Non-native
Sphagneticola trilobata,Non-native
Stachytarpheta cayennensis,Non-native
Stachytarpheta jamaicensis,Native
Stylosanthes biflora,Native
Stylosanthes hamata,Native
Synedrella nodiflora,Non-native
Tillandsia setacea,Native
Toxicodendron radicans,Native
Tradescantia spathacea,Non-native
Tradescantia zebrina,Non-native
Trema micranthum var. floridanum ,Native
Tridax procumbens,Non-native
Trifolium repens,Non-native
Urena lobata,Non-native
Ximenia americana,Native
Xyris jupicai,Native
