"Plot.Identifier","Park.Name","Park.Type","Month","Year","Habitat.Type","Total_Floral_Cover","Habitat.Category","Unique.Interactions"
"MT-04","Military Trail","Low human modification","May",2025,"Oak Dominated Scrub",0.005,"Scrub",3
"MT-05","Military Trail","Low human modification","May",2025,"Sand Pine Scrub",1e-04,"Scrub",0
"MT-06","Military Trail","Low human modification","May",2025,"Oak Dominated Scrub",0.0626,"Scrub",4
"HK-04","Helene Klein","Low human modification","May",2025,"Pine Flatwoods",0.0151,"Flatwoods",2
"HK-05","Helene Klein","Low human modification","May",2025,"Pine Flatwoods",0.0125,"Flatwoods",1
"HK-06","Helene Klein","Low human modification","May",2025,"Pine Flatwoods",0.0101,"Flatwoods",0
"MK-11","Markham","High human modification","May",2025,"Open Grassy",0.005,"Open Human Disturbed",0
"MK-12","Markham","High human modification","May",2025,"Open Grassy",0.035,"Open Human Disturbed",18
"MK-13","Markham","High human modification","May",2025,"Australian Pine Forest",0.0076,"Transitional Human Disturbed",0
"MK-14","Markham","High human modification","May",2025,"Australian Pine Forest",1e-04,"Transitional Human Disturbed",0
"MK-15","Markham","High human modification","May",2025,"Open Grassy",0.0476,"Open Human Disturbed",2
"CB-05","CB Smith","High human modification","May",2025,"Open Grassy",0.0275,"Open Human Disturbed",4
"CB-06","CB Smith","High human modification","May",2025,"Open Grassy",0.07,"Open Human Disturbed",4
"CB-07","CB Smith","High human modification","May",2025,"Open Grassy",0.03,"Open Human Disturbed",3
"CB-08","CB Smith","High human modification","May",2025,"Open Grassy",0.0152,"Open Human Disturbed",0
"LK-04","Long Key","Low human modification","May",2025,"Ephemeral Wetland",0.0403,"Wetland",1
"LK-05","Long Key","Low human modification","May",2025,"Open Grassy",0.0402,"Open Human Disturbed",19
"LK-06","Long Key","Low human modification","May",2025,"Hammock",0.0076,"Hammock",0
"VV-05","Vista View","High human modification","May",2025,"Open Grassy",0.0327,"Open Human Disturbed",11
"VV-06","Vista View","High human modification","May",2025,"Open Grassy",0.0402,"Open Human Disturbed",10
"VV-07","Vista View","High human modification","May",2025,"Open Grassy",0.0303,"Open Human Disturbed",1
"VV-08","Vista View","High human modification","May",2025,"Open Grassy",0.0151,"Open Human Disturbed",0
"HS-04","Highlands Scrub","Low human modification","May",2025,"Sand Pine Scrub",0.0152,"Scrub",1
"HS-05","Highlands Scrub","Low human modification","May",2025,"Sand Pine Scrub",0.0051,"Scrub",2
"HS-06","Highlands Scrub","Low human modification","May",2025,"Sand Pine Scrub",0.0279,"Scrub",4
"QW-09","Quiet Waters","High human modification","May",2025,"Disturbed Edge",0.01,"Transitional Human Disturbed",7
"QW-10","Quiet Waters","High human modification","May",2025,"Open Grassy",0.0152,"Open Human Disturbed",0
"QW-11","Quiet Waters","High human modification","May",2025,"Pine Flatwoods",0.0326,"Flatwoods",0
"QW-12","Quiet Waters","High human modification","May",2025,"Open Grassy",0,"Open Human Disturbed",0
"MK-16","Markham","High human modification","June",2025,"Open Grassy",0.0178,"Open Human Disturbed",1
"MK-17","Markham","High human modification","June",2025,"Hammock",0.0077,"Hammock",0
"MK-18","Markham","High human modification","June",2025,"Open Grassy",0.0228,"Open Human Disturbed",7
"MK-19","Markham","High human modification","June",2025,"Australian Pine Forest",0,"Transitional Human Disturbed",0
"MK-20","Markham","High human modification","June",2025,"Open Grassy",0.0183,"Open Human Disturbed",10
"CB-09","CB Smith","High human modification","June",2025,"Open Grassy",0.0075,"Open Human Disturbed",0
"CB-10","CB Smith","High human modification","June",2025,"Open Grassy",0.0328,"Open Human Disturbed",4
"CB-11","CB Smith","High human modification","June",2025,"Open Grassy",0.0052,"Open Human Disturbed",1
"CB-12","CB Smith","High human modification","June",2025,"Open Grassy",0.0078,"Open Human Disturbed",8
"HS-07","Highlands Scrub","Low human modification","June",2025,"Sand Pine Scrub",1e-04,"Scrub",0
"HS-08","Highlands Scrub","Low human modification","June",2025,"Disturbed Edge",0.003,"Transitional Human Disturbed",3
"HS-09","Highlands Scrub","Low human modification","June",2025,"Sand Pine Scrub",0.0052,"Scrub",2
"MT-07","Military Trail","Low human modification","June",2025,"Oak Dominated Scrub",4e-04,"Scrub",1
"MT-08","Military Trail","Low human modification","June",2025,"Scrubby Flatwoods",0.0126,"Scrub",5
"MT-09","Military Trail","Low human modification","June",2025,"Disturbed Edge",1e-04,"Transitional Human Disturbed",0
