"Pollinator_Species"
"Agapostemon splendens"
"Ammophila pictipennis"
"Anartia jatrophae"
"Anoplius americanus"
"Apis mellifera"
"Ascia monuste"
"Augochlora pura"
"Battus polydamas"
"Burnsius albezens"
"Burnsius oileus"
"Cecropterus dorantes"
"Ceratina floridana"
"Chauliognathus marginatus"
"Chrysanthrax cypris"
"Coelioxys slossoni"
"Cylindromyia intermedia"
"Cylindromyia interrupta"
"Cymaenes tripunctus"
"Danaus plexippus"
"Dielis dorsata"
"Dielis plumipes"
"Dielis trifasciata"
"Dione  vanillae"
"Dioprosopa clavata"
"Dryas iulia"
"Electrostrymon angelia"
"Erynnis horatius"
"Euphoria sepulcralis"
"Eurema daira"
"Family Halictidae"
"Family Pompilidae"
"Genus Agapostemon"
"Genus Anomalon"
"Genus Chrysomya"
"Genus Coelioxys"
"Genus Colletes"
"Genus Dielis"
"Genus Lasioglossum"
"Genus Megachile"
"Genus Mordella"
"Genus Myzinum"
"Genus Palpada"
"Genus Phoebis"
"Genus Polistes"
"Genus Prionyx"
"Genus Tachytes"
"Genus Toxophora"
"Gonia crassicornis"
"Halictus poeyi"
"Heliconius charithonia"
"Hemiargus ceraunus"
"Heraclides cresphontes"
"Hylephila phyleus"
"Hyles lineata"
"Junonia coenia"
"Lasioglossum gemmatum"
"Lasioglossum nymphale"
"Leptotes cassius"
"Lerodea eufala"
"Marpesia petreus"
"Megachile petulans"
"Megachile pruina"
"Mischocyttarus mexicanus"
"Myzinum carolinianum"
"Myzinum dubiosum"
"Nathalis iole"
"Nomia maneei"
"Oenobotys vinotinctalis"
"Ornidia obesa"
"Pachodynerus erynnis"
"Pachodynerus nasidens"
"Palpada agrorum"
"Palpada albifrons"
"Palpada furcata"
"Palpada pusilla"
"Palpada vinetorum "
"Panoquina ocola"
"Phyciodes phaon"
"Physoconops floridanus"
"Pimpla marginella"
"Poecilanthrax lucifer"
"Poecilanthrax lucifer "
"Polistes bellicosus"
"Polistes dorsalis"
"Polistes major"
"Polistes major ssp. major"
"Pyrausta tyralis"
"Samea castellalis"
"Sceliphron caementarium"
"Scolia nobilitata"
"Spoladea recurvalis"
"Strymon istapa"
"Strymon melinus"
"Syngamia florella"
"Syritta flaviventris"
"Systoechus solitus"
"Tarache aprica"
"Toxomerus arcifer"
"Toxomerus corbis"
"Toxomerus floralis"
"Toxomerus marginatus"
"Trigonopeltastes delta"
"Vanessa atalanta"
"Villa lateralis"
