"Plot.Identifier","Plant.Common.Name","Plant.Order","Plant.Family","Plant.Genus","Plant.Species","Percent.Cover.Flowering","iNat.link","Plant_ID"
"MT-04","Bitter Melon","Cucurbitales","Cucubitaceae","Momordica","charantia",0.001,"","Momordica charantia"
"MT-04","White Beggarticks","Asterales","Asteraceae","Bidens","alba",0.001,"","Bidens alba"
"MT-04","Coastal Plain Staggerbush","Ericales","Ericaceae","Lyonia","fruticosa",0.001,"","Lyonia fruticosa"
"MT-04","Caesaer Weed","Malvales","Malvaceae","Urena","lobata",0.001,"","Urena lobata"
"MT-04","Saw Palmetto","Arecales","Arecaceae","Serenoa","repens",0.001,"","Serenoa repens"
"MT-05","Shiny-leaved Wild Coffee","Gentianales","Rubiaceae","Psychotria","nervosa",1e-04,"","Psychotria nervosa"
"MT-06","Saw Palmetto","Arecales","Arecaceae","Serenoa","repens",0.05,"","Serenoa repens"
"MT-06","American Beautyberry","Lamiales","Lamiaceae","Callicarpa","americana",0.005,"","Callicarpa americana"
"MT-06","Tarflower","Ericales","Ericaceae","Bejaria","racemosa",1e-04,"","Bejaria racemosa"
"MT-06","Coastal Plain Staggerbush","Ericales","Ericaceae","Lyonia","fruticosa",0.0075,"","Lyonia fruticosa"
"HK-04","White Beggarticks","Asterales","Asteraceae","Bidens","alba",0.005,"","Bidens alba"
"HK-04","Nettletree","Rosales","Cannabaceae","Trema","micranthum var. floridanum ",1e-04,"","Trema micranthum var. floridanum "
"HK-04","Shiny-leaved Wild Coffee","Gentianales","Rubiaceae","Psychotria","nervosa",0.005,"","Psychotria nervosa"
"HK-04","American Beautyberry","Lamiales","Lamiaceae","Callicarpa","americana",0.005,"","Callicarpa americana"
"HK-05","Virginia Creeper","Vitales","Vitaceae","Parthenocissus","quinquefolia",0.0075,"","Parthenocissus quinquefolia"
"HK-05","Shiny-leaved Wild Coffee","Gentianales","Rubiaceae","Psychotria","nervosa",0.005,"","Psychotria nervosa"
"HK-06","Saw Palmetto","Arecales","Arecaceae","Serenoa","repens",0.01,"","Serenoa repens"
"HK-06","Shiny-leaved Wild Coffee","Gentianales","Rubiaceae","Psychotria","nervosa",1e-04,"","Psychotria nervosa"
"MK-11","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.005,"","Spermacoce verticillata"
"MK-12","White Beggarticks","Asterales","Asteraceae","Bidens","alba",0.005,"","Bidens alba"
"MK-12","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.005,"","Spermacoce verticillata"
"MK-12","Oakleaf Fleabane","Asterales","Asteraceae","Erigeron","quercifolius",0.01,"","Erigeron quercifolius"
"MK-12","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",0.0075,"","Phyla nodiflora"
"MK-12","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",0.0075,"","Richardia grandiflora"
"MK-13","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.0075,"","Spermacoce verticillata"
"MK-13","Moses-in-the-Cradle","Commelinales","Commelinaceae","Tradescantia","spathacea",1e-04,"","Tradescantia spathacea"
"MK-14","Moses-in-the-Cradle","Commelinales","Commelinaceae","Tradescantia","spathacea",1e-04,"","Tradescantia spathacea"
"MK-15","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.01,"","Spermacoce verticillata"
"MK-15","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",0.01,"","Richardia grandiflora"
"MK-15","White Beggarticks","Asterales","Asteraceae","Bidens","alba",1e-04,"","Bidens alba"
"MK-15","Common Fanpetals","Malvales","Malvaceae","Sida","ulmifolia",0.0075,"","Sida ulmifolia"
"MK-15","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",0.01,"","Phyla nodiflora"
"MK-15","Virginia Pepperweed","Brassicales","Brassicaceae","Lepidium","virginicum",0.01,"","Lepidium virginicum"
"CB-05","White Beggarticks","Asterales","Asteraceae","Bidens","alba",0.01,"","Bidens alba"
"CB-05","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.01,"","Spermacoce verticillata"
"CB-05","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",0.0075,"","Richardia grandiflora"
