species
Danaus gilippus
Eumaeus atala
Papilio palamedes
Phocides pigmalion
Pontia protodice
Syntomeida epilais
Thorybes dorantes
Phoebis sennae
Phoebis philea
Phoebis statira
Epipagis forsythae
Asbolis capucinus
Urbanus proteus
Megachile parallela
Atalopedes huron
Atteva aurea
Lerema accius
Choranthus capucinus
Centris nitida
Aphrissa neleis
Oligoria maculata
Erynnis juvenalis
Phoebis agarithe
Polygonus leo
Junonia neildi
Aellopos tantalus
Danaus eresimus
Siproeta stelenes
Coelioxys sayi
Phyciodes tharos
Amorbia concavana
Erynnis zarucco
Utetheisa ornatrix
Euglossa dilemma
Trichiotinus lunulatus
Limenitis archippus
Coelioxys dolichos
Alypia wittfeldii
Calpodes ethlius
Larra bicolor
Polites otho
Chlorostrymon maesites
Thorybes pylades
Papilio polyxenes
Microbembex monodonta
Hymenia perspectalis
Megachile albitarsis
Pyrisitia lisa
Anticarsia gemmatalis
Uresiphita reversalis
