species,pollinator_QAQC,notes
Danaus gilippus,Y,
Eumaeus atala,Y,
Papilio palamedes,Y,
Phocides pigmalion,Y,
Pontia protodice,Y,
Syntomeida epilais,Y,
Thorybes dorantes,Y,
Phoebis sennae,Y,
Phoebis philea,Y,
Phoebis statira,Y,
Epipagis forsythae,Y,
Asbolis capucinus,Y,
Urbanus proteus,Y,
Megachile parallela,Y,
Atalopedes huron,Y,
Atteva aurea,Y,
Lerema accius,Y,
Choranthus capucinus,Y,
Centris nitida,Y,
Aphrissa neleis,Y,
Oligoria maculata,Y,
Erynnis juvenalis,Y,
Phoebis agarithe,Y,
Polygonus leo,Y,
Junonia neildi,Y,
Aellopos tantalus,Y,
Danaus eresimus,Y,
Siproeta stelenes,Y,
Coelioxys sayi,N,not enough information regarding diet
Phyciodes tharos,Y,
Amorbia concavana,N,not enough information regarding diet
Erynnis zarucco,Y,
Utetheisa ornatrix,Y,
Euglossa dilemma,Y,
Trichiotinus lunulatus,Y,
Limenitis archippus,Y,
Coelioxys dolichos,Y,
Alypia wittfeldii,Y,
Calpodes ethlius,Y,
Larra bicolor,Y,
Polites otho,Y,
Chlorostrymon maesites,Y,
Thorybes pylades,Y,
Papilio polyxenes,Y,
Microbembex monodonta,Y,
Hymenia perspectalis,Y,
Megachile albitarsis,Y,
Pyrisitia lisa,Y,
Anticarsia gemmatalis,Y,
Uresiphita reversalis,Y,
