Taxon.name,URL,Tagged.by,Flower_Genus,Flower_species,Flower_IDer,FLW_ID_Conf,project,id.y,uuid,field_id,datatype,name,name_ci,value,value_ci,updater_id,user_id,taxon_id,taxon.id,taxon.rank,taxon.rank_level,taxon.iconic_taxon_id,taxon.ancestor_ids,taxon.is_active,taxon.min_species_taxon_id,taxon.name,taxon.parent_id,taxon.ancestry,taxon.min_species_ancestry,taxon.extinct,taxon.provisional,taxon.created_at,taxon.taxon_changes_count,taxon.taxon_schemes_count,taxon.observations_count,taxon.photos_locked,taxon.universal_search_rank,taxon.current_synonymous_taxon_ids,taxon.atlas_id,taxon.complete_species_count,taxon.wikipedia_url,taxon.iconic_taxon_name,taxon.preferred_common_name,taxon.default_photo.id,taxon.default_photo.license_code,taxon.default_photo.attribution,taxon.default_photo.url,taxon.default_photo.flags,taxon.default_photo.attribution_name,taxon.default_photo.square_url,taxon.default_photo.medium_url,taxon.default_photo.original_dimensions.height,taxon.default_photo.original_dimensions.width,taxon.flag_counts.resolved,taxon.flag_counts.unresolved,user.id,user.login,user.spam,user.suspended,user.created_at,user.login_autocomplete,user.login_exact,user.name,user.name_autocomplete,user.orcid,user.icon,user.observations_count,user.identifications_count,user.journal_posts_count,user.activity_count,user.species_count,user.annotated_observations_count,user.universal_search_rank,user.roles,user.site_id,user.icon_url,taxon.conservation_status.id,taxon.conservation_status.place_id,taxon.conservation_status.source_id,taxon.conservation_status.user_id,taxon.conservation_status.authority,taxon.conservation_status.status,taxon.conservation_status.status_name,taxon.conservation_status.geoprivacy,taxon.conservation_status.iucn,Park.Name,Plant_ID,Interaction.ID
Danaus plexippus,http://www.inaturalist.org/observations/4048106,Noelle,Bidens,alba,Jake,100%,Thomas,20161942,06e56377-6599-4bb3-949d-13d0b2f4601b,1711,taxon,Associated species with names lookup,Associated species with names lookup,1095846,1095846,NA,1174034,1095846,1095846,species,10,47126,,TRUE,1095846,Bidens alba,50204,48460/47126/211194/47125/47124/47605/47604/632790/568277/50204,"48460,47126,211194,47125,47124,47605,47604,632790,568277,50204,1095846",FALSE,FALSE,2020-06-05T17:31:55+00:00,4,2,91756,FALSE,91756,NA,30122,NA,https://en.wikipedia.org/wiki/Bidens_alba,Plantae,White beggarticks,86500140,cc0,"no rights reserved, uploaded by 葉子",https://inaturalist-open-data.s3.amazonaws.com/photos/86500140/square.jpeg,,葉子,https://inaturalist-open-data.s3.amazonaws.com/photos/86500140/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/86500140/medium.jpeg,1536,2048,3,0,1174034,natev,FALSE,FALSE,2018-08-30T19:47:46+00:00,natev,natev,Nate Venarske,Nate Venarske,NA,https://static.inaturalist.org/attachments/users/icons/1174034/thumb.jpg?1535765110,10926,424239,8,435173,3524,133797,10926,,1,https://static.inaturalist.org/attachments/users/icons/1174034/medium.jpg?1535765110,NA,NA,NA,NA,NA,NA,NA,NA,NA,Markham,Bidens alba,Bidens alba | Danaus plexippus
Marpesia petreus,https://www.inaturalist.org/observations/37000506,Tessa,Chromolaena,odorata,Toni,100%,Thomas,12185425,f537f190-821d-414d-a4db-eb3e85512f3a,3126,taxon,Interaction->Visited flower of,Interaction->Visited flower of,153419,153419,NA,349183,153419,153419,tribe,25,47126,,TRUE,153419,Eupatorieae,632790,48460/47126/211194/47125/47124/47605/47604/632790,"48460,47126,211194,47125,47124,47605,47604,632790,153419",FALSE,FALSE,2012-09-22T08:40:45+00:00,0,1,878048,FALSE,878048,NA,NA,NA,http://en.wikipedia.org/wiki/Eupatorieae,Plantae,"bonesets, blazingstars, and allies",50317047,cc-by-nc,"(c) Jacob Dittel, some rights reserved (CC BY-NC), uploaded by Jacob Dittel",https://inaturalist-open-data.s3.amazonaws.com/photos/50317047/square.jpg,,Jacob Dittel,https://inaturalist-open-data.s3.amazonaws.com/photos/50317047/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/50317047/medium.jpg,1536,2048,4,0,349183,joemdo,FALSE,FALSE,2016-10-12T00:08:13+00:00,joemdo,joemdo,Joe MDO,Joe MDO,NA,https://static.inaturalist.org/attachments/users/icons/349183/thumb.jpg?1662070326,126435,249147,9,375591,11568,63401,126435,,1,https://static.inaturalist.org/attachments/users/icons/349183/medium.jpg?1662070326,NA,NA,NA,NA,NA,NA,NA,NA,NA,Long Key,Chromolaena odorata,Chromolaena odorata | Marpesia petreus
Marpesia petreus,https://www.inaturalist.org/observations/37166358,MaryJo,Chromolaena,odorata,Toni,100%,Thomas,12185424,062195f7-e003-4d67-8032-72b4aff7cd04,3126,taxon,Interaction->Visited flower of,Interaction->Visited flower of,153419,153419,NA,349183,153419,153419,tribe,25,47126,,TRUE,153419,Eupatorieae,632790,48460/47126/211194/47125/47124/47605/47604/632790,"48460,47126,211194,47125,47124,47605,47604,632790,153419",FALSE,FALSE,2012-09-22T08:40:45+00:00,0,1,878048,FALSE,878048,NA,NA,NA,http://en.wikipedia.org/wiki/Eupatorieae,Plantae,"bonesets, blazingstars, and allies",50317047,cc-by-nc,"(c) Jacob Dittel, some rights reserved (CC BY-NC), uploaded by Jacob Dittel",https://inaturalist-open-data.s3.amazonaws.com/photos/50317047/square.jpg,,Jacob Dittel,https://inaturalist-open-data.s3.amazonaws.com/photos/50317047/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/50317047/medium.jpg,1536,2048,4,0,349183,joemdo,FALSE,FALSE,2016-10-12T00:08:13+00:00,joemdo,joemdo,Joe MDO,Joe MDO,NA,https://static.inaturalist.org/attachments/users/icons/349183/thumb.jpg?1662070326,126435,249147,9,375591,11568,63401,126435,,1,https://static.inaturalist.org/attachments/users/icons/349183/medium.jpg?1662070326,NA,NA,NA,NA,NA,NA,NA,NA,NA,Long Key,Chromolaena odorata,Chromolaena odorata | Marpesia petreus
Phoebis sennae,https://www.inaturalist.org/observations/38733011,MaryJo,Salvia,coccinea,Toni,100%,Thomas,37677008,6ccd4ff6-e7c2-4727-8c3b-944897cb1f42,10524,taxon,Plant association,Plant association,128652,128652,395895,395895,128652,128652,species,10,47126,,TRUE,128652,Salvia coccinea,1471011,48460/47126/211194/47125/47124/48151/48623/520502/918917/919182/50644/1470981/1471011,"48460,47126,211194,47125,47124,48151,48623,520502,918917,919182,50644,1470981,1471011,128652",FALSE,FALSE,2012-05-19T17:11:04+00:00,2,5,21812,FALSE,21812,NA,131123,NA,http://en.wikipedia.org/wiki/Salvia_coccinea,Plantae,Tropical sage,14351934,cc0,"no rights reserved, uploaded by Brady Reed",https://inaturalist-open-data.s3.amazonaws.com/photos/14351934/square.jpg,,Brady Reed,https://inaturalist-open-data.s3.amazonaws.com/photos/14351934/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/14351934/medium.jpg,2048,1365,3,0,395895,wildlander,FALSE,FALSE,2017-01-27T05:07:18+00:00,wildlander,wildlander,Jared Gorrell,Jared Gorrell,NA,https://static.inaturalist.org/attachments/users/icons/395895/thumb.jpg?1689032258,134015,182987,14,317016,13490,316,134015,,1,https://static.inaturalist.org/attachments/users/icons/395895/medium.jpg?1689032258,NA,NA,NA,NA,NA,NA,NA,NA,NA,Markham,Salvia coccinea,Salvia coccinea | Phoebis sennae
Heliconius charithonia,https://www.inaturalist.org/observations/38733018,MaryJo,Heliotropium,angioermum,Toni,100%,Thomas,37677005,4a34074a-3988-4b6c-91f1-83d64f0431c4,10524,taxon,Plant association,Plant association,795679,795679,395895,395895,795679,795679,subfamily,27,47126,,TRUE,795679,Heliotropioideae,48150,48460/47126/211194/47125/47124/523723/48150,"48460,47126,211194,47125,47124,523723,48150,795679",FALSE,FALSE,2018-11-14T10:41:15+00:00,0,0,116870,FALSE,116870,NA,NA,NA,http://en.wikipedia.org/wiki/Heliotropioideae,Plantae,NA,2156400,cc-by-nc-sa,"(c) Mr. Greenjeans, some rights reserved (CC BY-NC-SA)",https://inaturalist-open-data.s3.amazonaws.com/photos/2156400/square.jpg,,Mr. Greenjeans,https://inaturalist-open-data.s3.amazonaws.com/photos/2156400/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/2156400/medium.jpg,1184,1600,0,0,395895,wildlander,FALSE,FALSE,2017-01-27T05:07:18+00:00,wildlander,wildlander,Jared Gorrell,Jared Gorrell,NA,https://static.inaturalist.org/attachments/users/icons/395895/thumb.jpg?1689032258,134015,182987,14,317016,13490,316,134015,,1,https://static.inaturalist.org/attachments/users/icons/395895/medium.jpg?1689032258,NA,NA,NA,NA,NA,NA,NA,NA,NA,Markham,Heliotropium angioermum,Heliotropium angioermum | Heliconius charithonia
Danaus gilippus,https://www.inaturalist.org/observations/38733026,MaryJo,Bidens,alba,Toni,100%,Thomas,37676911,b6afd3c2-5344-482b-8964-07ff00828d6e,10524,taxon,Plant association,Plant association,1095846,1095846,395895,395895,1095846,1095846,species,10,47126,,TRUE,1095846,Bidens alba,50204,48460/47126/211194/47125/47124/47605/47604/632790/568277/50204,"48460,47126,211194,47125,47124,47605,47604,632790,568277,50204,1095846",FALSE,FALSE,2020-06-05T17:31:55+00:00,4,2,91756,FALSE,91756,NA,30122,NA,https://en.wikipedia.org/wiki/Bidens_alba,Plantae,White beggarticks,86500140,cc0,"no rights reserved, uploaded by 葉子",https://inaturalist-open-data.s3.amazonaws.com/photos/86500140/square.jpeg,,葉子,https://inaturalist-open-data.s3.amazonaws.com/photos/86500140/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/86500140/medium.jpeg,1536,2048,3,0,395895,wildlander,FALSE,FALSE,2017-01-27T05:07:18+00:00,wildlander,wildlander,Jared Gorrell,Jared Gorrell,NA,https://static.inaturalist.org/attachments/users/icons/395895/thumb.jpg?1689032258,134015,182987,14,317016,13490,316,134015,,1,https://static.inaturalist.org/attachments/users/icons/395895/medium.jpg?1689032258,NA,NA,NA,NA,NA,NA,NA,NA,NA,Markham,Bidens alba,Bidens alba | Danaus gilippus
Danaus gilippus,https://www.inaturalist.org/observations/38733037,MaryJo,Bidens,alba,Toni,100%,Thomas,37676914,f88b7ff3-fdf2-4733-b5d3-3c8e21ba73af,10524,taxon,Plant association,Plant association,1095846,1095846,395895,395895,1095846,1095846,species,10,47126,,TRUE,1095846,Bidens alba,50204,48460/47126/211194/47125/47124/47605/47604/632790/568277/50204,"48460,47126,211194,47125,47124,47605,47604,632790,568277,50204,1095846",FALSE,FALSE,2020-06-05T17:31:55+00:00,4,2,91756,FALSE,91756,NA,30122,NA,https://en.wikipedia.org/wiki/Bidens_alba,Plantae,White beggarticks,86500140,cc0,"no rights reserved, uploaded by 葉子",https://inaturalist-open-data.s3.amazonaws.com/photos/86500140/square.jpeg,,葉子,https://inaturalist-open-data.s3.amazonaws.com/photos/86500140/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/86500140/medium.jpeg,1536,2048,3,0,395895,wildlander,FALSE,FALSE,2017-01-27T05:07:18+00:00,wildlander,wildlander,Jared Gorrell,Jared Gorrell,NA,https://static.inaturalist.org/attachments/users/icons/395895/thumb.jpg?1689032258,134015,182987,14,317016,13490,316,134015,,1,https://static.inaturalist.org/attachments/users/icons/395895/medium.jpg?1689032258,NA,NA,NA,NA,NA,NA,NA,NA,NA,Markham,Bidens alba,Bidens alba | Danaus gilippus
Thorybes dorantes,https://www.inaturalist.org/observations/38733052,MaryJo,Pseudogynoxys,chenopodioides,Toni,100%,Thomas,12185383,be501ba6-abf5-4d7b-bc8c-34d5bb50ea58,3126,taxon,Interaction->Visited flower of,Interaction->Visited flower of,47604,47604,349183,349183,47604,47604,family,30,47126,,TRUE,47604,Asteraceae,47605,48460/47126/211194/47125/47124/47605,"48460,47126,211194,47125,47124,47605,47604",FALSE,FALSE,2008-06-03T13:52:08+00:00,2,2,17926181,FALSE,17926181,NA,NA,NA,https://en.wikipedia.org/wiki/Asteraceae,Plantae,"Sunflowers, Daisies, Asters, and Allies",72961012,cc-by-sa,"(c) Ram-Man, some rights reserved (CC BY-SA)",https://inaturalist-open-data.s3.amazonaws.com/photos/72961012/square.jpg,,Ram-Man,https://inaturalist-open-data.s3.amazonaws.com/photos/72961012/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/72961012/medium.jpg,1862,2048,5,0,349183,joemdo,FALSE,FALSE,2016-10-12T00:08:13+00:00,joemdo,joemdo,Joe MDO,Joe MDO,NA,https://static.inaturalist.org/attachments/users/icons/349183/thumb.jpg?1662070326,126435,249147,9,375591,11568,63401,126435,,1,https://static.inaturalist.org/attachments/users/icons/349183/medium.jpg?1662070326,NA,NA,NA,NA,NA,NA,NA,NA,NA,Markham,Pseudogynoxys chenopodioides,Pseudogynoxys chenopodioides | Thorybes dorantes
Marpesia petreus,https://www.inaturalist.org/observations/38733053,MaryJo,Pseudogynoxys,chenopodioides,Toni,100%,Thomas,12185398,28c557eb-276f-420c-90df-8ab7fa66fdac,3126,taxon,Interaction->Visited flower of,Interaction->Visited flower of,132452,132452,395895,349183,132452,132452,genus,20,47126,,TRUE,132452,Tithonia,901801,48460/47126/211194/47125/47124/47605/47604/632790/605446/901801,"48460,47126,211194,47125,47124,47605,47604,632790,605446,901801,132452",FALSE,FALSE,2012-06-27T03:18:13+00:00,0,2,30860,FALSE,30860,NA,NA,NA,http://en.wikipedia.org/wiki/Tithonia,Plantae,Mexican Sunflowers,517847,NA,"(c) Michele Roman, all rights reserved, uploaded by Michele Roman",https://static.inaturalist.org/photos/517847/square.jpg,,Michele Roman,https://static.inaturalist.org/photos/517847/square.jpg,https://static.inaturalist.org/photos/517847/medium.jpg,1360,2048,0,0,349183,joemdo,FALSE,FALSE,2016-10-12T00:08:13+00:00,joemdo,joemdo,Joe MDO,Joe MDO,NA,https://static.inaturalist.org/attachments/users/icons/349183/thumb.jpg?1662070326,126435,249147,9,375591,11568,63401,126435,,1,https://static.inaturalist.org/attachments/users/icons/349183/medium.jpg?1662070326,NA,NA,NA,NA,NA,NA,NA,NA,NA,Markham,Pseudogynoxys chenopodioides,Pseudogynoxys chenopodioides | Marpesia petreus
Heliconius charithonia,https://www.inaturalist.org/observations/38733060,MaryJo,Pseudogynoxys,chenopodioides,Toni,100%,Thomas,12185380,24664760-1c50-4571-965f-b2770dd82ba1,3126,taxon,Interaction->Visited flower of,Interaction->Visited flower of,132452,132452,395895,349183,132452,132452,genus,20,47126,,TRUE,132452,Tithonia,901801,48460/47126/211194/47125/47124/47605/47604/632790/605446/901801,"48460,47126,211194,47125,47124,47605,47604,632790,605446,901801,132452",FALSE,FALSE,2012-06-27T03:18:13+00:00,0,2,30860,FALSE,30860,NA,NA,NA,http://en.wikipedia.org/wiki/Tithonia,Plantae,Mexican Sunflowers,517847,NA,"(c) Michele Roman, all rights reserved, uploaded by Michele Roman",https://static.inaturalist.org/photos/517847/square.jpg,,Michele Roman,https://static.inaturalist.org/photos/517847/square.jpg,https://static.inaturalist.org/photos/517847/medium.jpg,1360,2048,0,0,349183,joemdo,FALSE,FALSE,2016-10-12T00:08:13+00:00,joemdo,joemdo,Joe MDO,Joe MDO,NA,https://static.inaturalist.org/attachments/users/icons/349183/thumb.jpg?1662070326,126435,249147,9,375591,11568,63401,126435,,1,https://static.inaturalist.org/attachments/users/icons/349183/medium.jpg?1662070326,NA,NA,NA,NA,NA,NA,NA,NA,NA,Markham,Pseudogynoxys chenopodioides,Pseudogynoxys chenopodioides | Heliconius charithonia
Phoebis philea,https://www.inaturalist.org/observations/38733066,MaryJo,Salvia,coccinea,Toni,100%,Thomas,37676952,a1806e87-82f1-4c4a-87a3-a50191e7168a,10524,taxon,Plant association,Plant association,128652,128652,395895,395895,128652,128652,species,10,47126,,TRUE,128652,Salvia coccinea,1471011,48460/47126/211194/47125/47124/48151/48623/520502/918917/919182/50644/1470981/1471011,"48460,47126,211194,47125,47124,48151,48623,520502,918917,919182,50644,1470981,1471011,128652",FALSE,FALSE,2012-05-19T17:11:04+00:00,2,5,21812,FALSE,21812,NA,131123,NA,http://en.wikipedia.org/wiki/Salvia_coccinea,Plantae,Tropical sage,14351934,cc0,"no rights reserved, uploaded by Brady Reed",https://inaturalist-open-data.s3.amazonaws.com/photos/14351934/square.jpg,,Brady Reed,https://inaturalist-open-data.s3.amazonaws.com/photos/14351934/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/14351934/medium.jpg,2048,1365,3,0,395895,wildlander,FALSE,FALSE,2017-01-27T05:07:18+00:00,wildlander,wildlander,Jared Gorrell,Jared Gorrell,NA,https://static.inaturalist.org/attachments/users/icons/395895/thumb.jpg?1689032258,134015,182987,14,317016,13490,316,134015,,1,https://static.inaturalist.org/attachments/users/icons/395895/medium.jpg?1689032258,NA,NA,NA,NA,NA,NA,NA,NA,NA,Markham,Salvia coccinea,Salvia coccinea | Phoebis philea
