Taxon.name,Insect.Order
Agapostemon splendens,Hymenoptera
Anartia jatrophae,Lepidoptera
Anticarsia gemmatalis,Lepidoptera
Apis mellifera,Hymenoptera
Asbolis capucinus,Lepidoptera
Ascia monuste,Lepidoptera
Atalopedes huron,Lepidoptera
Augochlora pura,Hymenoptera
Burnsius albezens,Lepidoptera
Burnsius oileus,Lepidoptera
Ceratina floridana,Hymenoptera
Chlorostrymon maesites,Lepidoptera
Coelioxys dolichos,Hymenoptera
Cymaenes tripunctus,Lepidoptera
Danaus eresimus,Lepidoptera
Danaus gilippus,Lepidoptera
Danaus plexippus,Lepidoptera
Dione vanillae,Lepidoptera
Dryas iulia,Lepidoptera
Epipagis forsythae,Lepidoptera
Erynnis horatius,Lepidoptera
Euglossa dilemma,Hymenoptera
Eumaeus atala,Lepidoptera
Euphoria sepulcralis,Coleoptera
Eurema daira,Lepidoptera
Halictus poeyi,Hymenoptera
Heliconius charithonia,Lepidoptera
Hemiargus ceraunus,Lepidoptera
Heraclides cresphontes,Lepidoptera
Hylephila phyleus,Lepidoptera
Hymenia perspectalis,Lepidoptera
Leptotes cassius,Lepidoptera
Lerema accius,Lepidoptera
Lerodea eufala,Lepidoptera
Limenitis archippus,Lepidoptera
Marpesia petreus,Lepidoptera
Megachile parallela,Hymenoptera
Nathalis iole,Lepidoptera
Oligoria maculata,Lepidoptera
Panoquina ocola,Lepidoptera
Papilio palamedes,Lepidoptera
Papilio polyxenes,Lepidoptera
Phoebis agarithe,Lepidoptera
Phoebis philea,Lepidoptera
Phoebis sennae,Lepidoptera
Phoebis statira,Lepidoptera
Phyciodes phaon,Lepidoptera
Phyciodes tharos,Lepidoptera
Poecilanthrax lucifer,Diptera
Polites otho,Lepidoptera
Polygonus leo,Lepidoptera
Pontia protodice,Lepidoptera
Pyrausta tyralis,Lepidoptera
Sceliphron caementarium,Hymenoptera
Siproeta stelenes,Lepidoptera
Strymon istapa,Lepidoptera
Syngamia florella,Lepidoptera
Syntomeida epilais,Lepidoptera
Thorybes dorantes,Lepidoptera
Trichiotinus lunulatus,Coleoptera
Trigonopeltastes delta,Coleoptera
Urbanus proteus,Lepidoptera
Utetheisa ornatrix,Lepidoptera
